TS[3]_GOWAWA[0.0;1;NONE;0.0;0.0;2;W-OWA;0.5;0.6]_N_gcp1,AC[2]_GOWAWA[0.2;2;S-OWA;0.6;0.0;2;S-OWA;0.8;0.1]_B_pie,AC[4]_GOWAWA[0.0;1;NONE;0.0;0.0;0;S-OWA;0.0;1.0]_T_pie,TS[3]_Q1_T_eps,GOWAWA[0.8;1;AO2-OWA;1.0;0.0;1;ES2-OWA;0.9;0.0]_F_mw,Class
13.116830791010456,7.926135927004664,34.0166,-946.36,74.76401207778585,nonAPP
9.895783761368852,31.28540563767976,43.1112,-926.5625,75.12936967027952,nonAPP
13.116830791010456,15.206156705308931,57.3686,-933.885,72.95377500638509,nonAPP
10.840287899823643,7.014858876143335,35.2787,-915.88,78.91645877907771,nonAPP
0.0,8.74536144265465,26.9798,-940.26,89.63509782593914,nonAPP
14.368768321485184,8.116277322491946,17.6456,-926.51,84.64120655285826,nonAPP
14.58174794060904,8.22378233371725,37.19520000000001,-913.8925,82.2200832134095,nonAPP
0.0,7.499153042303082,33.787000000000006,-917.625,72.43183180640666,nonAPP
13.116830791010456,0.0,58.1478,-907.225,80.55135670801742,nonAPP
10.70984765305672,6.779584009612449,35.7006,-914.1,76.86207775331657,nonAPP
10.70984765305672,7.77641747990654,35.2787,-913.2,75.95860398446729,nonAPP
0.0,0.0,35.1026,-952.4,75.08132945911261,nonAPP
0.0,8.480442372782953,17.4202,-929.02,89.32069845612189,nonAPP
10.70984765305672,0.0,61.1168,-959.08,83.45178339068939,nonAPP
9.895783761368852,0.0,35.7006,-904.7925,75.6119416383136,nonAPP
0.0,0.0,35.640899999999995,-928.355,78.84037101683982,nonAPP
8.57,8.458259829698882,17.4202,-960.5500000000002,77.13261763279992,nonAPP
0.0,7.324443937731778,35.640899999999995,-946.2025,74.13635158797756,nonAPP
0.0,7.385787689304071,16.325400000000002,-929.7675,93.80327203387051,nonAPP
10.70984765305672,8.087461522304919,33.2242,-926.9925,81.24540272044383,nonAPP
0.0,0.0,14.9857,-963.12,85.55020951095231,nonAPP
11.732050206635272,8.992243367630488,35.0439,-928.02,72.30066378007908,nonAPP
10.70984765305672,7.438114405983564,32.431000000000004,-965.35,71.53272193222983,nonAPP
10.70984765305672,9.294120468698615,19.3522,-915.13,83.71851209486042,nonAPP
0.0,8.964253441356473,17.9496,-913.0925,89.57699575978857,nonAPP
13.116830791010456,0.0,16.5369,-928.02,78.80027160855751,nonAPP
19.791567522737704,8.178062476949847,33.9096,-935.915,80.45687965499953,nonAPP
0.0,9.343785982381684,33.7305,-953.86,80.6000798924081,nonAPP
0.0,8.22378233371725,16.6477,-929.675,84.9491387296068,nonAPP
14.58174794060904,7.653347555417172,30.5665,-962.91,81.28779599800797,nonAPP
